test_name,modelName,durationSeconds,inputTokenCount,outputTokenCount,totalTokenCount,startRamGb,peakRamGb,startVramGb,peakVramGb,resultPath
test1-preview,microsoft/phi-4,12,900,389,1289,8.76,9.68,1.27,10.47,result1-microsoft_phi-4.kt
test1-preview,openai/gpt-oss-20b,13,978,460,1438,8.94,10.61,1.43,12.03,result2-openai_gpt-oss-20b.kt
test1-preview,mistralai/devstral-small-2-2512,42,950,480,1430,8.49,10.03,1.74,13.31,result3-mistralai_devstral-small-2-2512.kt
test1-preview,google/gemma-3-27b,90,1100,455,1555,8.18,10.65,1.70,15.30,result4-google_gemma-3-27b.kt
test1-preview,qwen/qwen3-coder-30b,36,903,423,1326,8.03,10.02,1.89,12.75,result5-qwen_qwen3-coder-30b.kt
test2-unit-test,microsoft/phi-4,19,1371,622,1993,7.99,8.67,1.76,11.13,result1-microsoft_phi-4.kt
test2-unit-test,openai/gpt-oss-20b,19,1441,773,2214,7.95,10.09,2.00,12.08,result2-openai_gpt-oss-20b.kt
test2-unit-test,mistralai/devstral-small-2-2512,77,1448,983,2431,8.07,10.07,1.68,13.36,result3-mistralai_devstral-small-2-2512.kt
test2-unit-test,google/gemma-3-27b,139,1674,906,2580,8.00,10.73,1.81,15.31,result4-google_gemma-3-27b.kt
test2-unit-test,qwen/qwen3-coder-30b,53,1373,976,2349,7.85,10.02,1.84,13.07,result5-qwen_qwen3-coder-30b.kt
test3-instrumentation-test,microsoft/phi-4,19,1053,605,1658,7.94,8.71,1.71,11.07,result1-microsoft_phi-4.kt
test3-instrumentation-test,openai/gpt-oss-20b,28,1130,1152,2282,7.99,10.07,1.90,12.16,result2-openai_gpt-oss-20b.kt
test3-instrumentation-test,mistralai/devstral-small-2-2512,68,1118,857,1975,8.05,10.24,1.70,13.44,result3-mistralai_devstral-small-2-2512.kt
test3-instrumentation-test,google/gemma-3-27b,153,1252,1049,2301,8.05,10.72,1.65,15.36,result4-google_gemma-3-27b.kt
test3-instrumentation-test,qwen/qwen3-coder-30b,57,1055,1042,2097,8.00,10.06,1.73,13.02,result5-qwen_qwen3-coder-30b.kt
test4-deprecated-material,microsoft/phi-4,20,1219,620,1839,7.96,8.71,1.68,11.04,result1-microsoft_phi-4.diff
test4-deprecated-material,openai/gpt-oss-20b,13,1293,202,1495,7.99,10.16,1.85,12.42,result2-openai_gpt-oss-20b.diff
test4-deprecated-material,mistralai/devstral-small-2-2512,22,1276,176,1452,8.01,10.02,1.99,12.95,result3-mistralai_devstral-small-2-2512.diff
test4-deprecated-material,google/gemma-3-27b,59,1422,325,1747,7.95,10.83,1.67,15.35,result4-google_gemma-3-27b.diff
test4-deprecated-material,qwen/qwen3-coder-30b,31,1227,287,1514,7.97,10.09,2.07,12.71,result5-qwen_qwen3-coder-30b.diff
test5-deprecated-plugin,microsoft/phi-4,23,923,831,1754,8.00,8.71,1.72,11.10,result1-microsoft_phi-4.diff
test5-deprecated-plugin,openai/gpt-oss-20b,13,987,269,1256,8.00,10.11,2.01,12.54,result2-openai_gpt-oss-20b.diff
test5-deprecated-plugin,mistralai/devstral-small-2-2512,34,975,368,1343,8.02,10.05,1.53,13.14,result3-mistralai_devstral-small-2-2512.diff
test5-deprecated-plugin,google/gemma-3-27b,70,1068,413,1481,7.99,10.71,1.78,15.25,result4-google_gemma-3-27b.diff
test5-deprecated-plugin,qwen/qwen3-coder-30b,41,936,469,1405,7.94,10.01,1.79,13.10,result5-qwen_qwen3-coder-30b.diff
